energy_center_MeV,annihil,compt,conv,primary,other,total
1.807500,0.000000,1.000000,3.000000,27.000000,1.000000,32.000000
1.812500,0.000000,0.000000,2.000000,36.000000,3.000000,41.000000
1.817500,0.000000,0.000000,2.000000,41.000000,2.000000,45.000000
1.822500,1.000000,0.000000,0.000000,45.000000,1.000000,47.000000
1.827500,1.000000,0.000000,0.000000,35.000000,3.000000,39.000000
1.832500,0.000000,0.000000,0.000000,41.000000,1.000000,42.000000
1.837500,0.000000,1.000000,0.000000,37.000000,1.000000,39.000000
1.842500,1.000000,2.000000,1.000000,39.000000,3.000000,46.000000
1.847500,0.000000,1.000000,1.000000,32.000000,0.000000,34.000000
1.852500,0.000000,0.000000,0.000000,31.000000,3.000000,34.000000
1.857500,0.000000,1.000000,0.000000,48.000000,2.000000,51.000000
1.862500,0.000000,0.000000,1.000000,40.000000,1.000000,42.000000
1.867500,0.000000,1.000000,0.000000,35.000000,2.000000,38.000000
1.872500,1.000000,3.000000,0.000000,41.000000,0.000000,45.000000
1.877500,0.000000,1.000000,0.000000,37.000000,2.000000,40.000000
1.882500,0.000000,3.000000,1.000000,50.000000,1.000000,55.000000
1.887500,0.000000,0.000000,1.000000,38.000000,1.000000,40.000000
1.892500,1.000000,1.000000,0.000000,36.000000,2.000000,40.000000
1.897500,0.000000,2.000000,3.000000,33.000000,2.000000,40.000000
1.902500,0.000000,2.000000,3.000000,38.000000,1.000000,44.000000
1.907500,0.000000,0.000000,0.000000,30.000000,1.000000,31.000000
1.912500,0.000000,0.000000,0.000000,39.000000,2.000000,41.000000
1.917500,1.000000,1.000000,0.000000,28.000000,1.000000,31.000000
1.922500,0.000000,1.000000,1.000000,35.000000,2.000000,39.000000
1.927500,0.000000,2.000000,0.000000,55.000000,0.000000,57.000000
1.932500,0.000000,0.000000,0.000000,43.000000,0.000000,43.000000
1.937500,0.000000,0.000000,2.000000,31.000000,2.000000,35.000000
1.942500,0.000000,0.000000,0.000000,41.000000,0.000000,41.000000
1.947500,1.000000,1.000000,3.000000,38.000000,0.000000,43.000000
1.952500,1.000000,0.000000,1.000000,35.000000,4.000000,41.000000
1.957500,0.000000,0.000000,1.000000,46.000000,1.000000,48.000000
1.962500,0.000000,1.000000,1.000000,43.000000,1.000000,46.000000
1.967500,0.000000,0.000000,1.000000,35.000000,1.000000,37.000000
